,Div,Date,HomeTeam,AwayTeam,FTR,HTCD,ATCD,HTGD,ATGD,HTSD,ATSD,HomeRating(ELO) 0.05,AwayRating(ELO) 0.05,HomeRating(ELO) 0.1,AwayRating(ELO) 0.1,HomeRating(ELO) 0.25,AwayRating(ELO) 0.25,HomeRating(ELO) 0.4,AwayRating(ELO) 0.4,HomeRating(ELO) 0.55,AwayRating(ELO) 0.55,HomeRating(ELO) 0.7,AwayRating(ELO) 0.7,HomeRating(ELO) 0.85,AwayRating(ELO) 0.85,HomeRating(ELO) 0.9,AwayRating(ELO) 0.9,Value Diff,Attack Diff,Mid Game Diff,Defense Diff,Over Game Diff,Estadio,Arbitro,Parametro,Yellow Card/Match,Red Card/Match,% HomeWin,% AwayWin,% DrawWin,_merge
16,SP1,12/09/2010,ID010,ID024,H,-0.032,0.016,-0.02702702702702703,-0.04054054054054054,-0.038461538461538464,-0.02197802197802198,0.9475,0.95,0.89,0.9,0.6875,0.75,0.44000000000000006,0.6,0.14749999999999985,0.44999999999999996,-0.18999999999999995,0.30000000000000004,-0.5725,0.15000000000000002,-0.71,0.09999999999999998,28800000,2,5,5,3,Coliseum Alfonso Pérez,Clos Gómez,r600016,"5,34","0,41",0.46511627906976744,0.3209302325581395,0.21395348837209302,both
17,SP1,12/09/2010,ID016,ID028,D,-0.016,-0.016,0.04054054054054054,0.0,0.02197802197802198,-0.005494505494505495,1.0475,1.0,1.09,1.0,1.1875,1.0,1.24,1.0,1.2475,1.0,1.21,1.0,1.1275,1.0,1.09,1.0,111900000,7,4,1,4,Ramón Sánchez Pizjuán,Turienzo Álvarez,r600015,"5,65","0,35",0.5318181818181819,0.2863636363636364,0.18181818181818182,both
18,SP1,12/09/2010,ID030,ID015,H,0.008,-0.024,-0.05405405405405406,0.0,0.005494505494505495,-0.016483516483516484,0.9475,1.0,0.89,1.0,0.6875,1.0,0.44000000000000006,1.0,0.14749999999999985,1.0,-0.18999999999999995,1.0,-0.5725,1.0,-0.71,1.0,-300000,1,1,1,0,El Molinón,Estrada Fernández,r600010,"5,54","0,27",0.48333333333333334,0.2625,0.25416666666666665,both
19,SP1,12/09/2010,ID014,ID021,H,-0.024,0.032,-0.013513513513513514,0.02702702702702703,0.01098901098901099,0.038461538461538464,0.9475,1.05,0.89,1.1,0.6875,1.25,0.44000000000000006,1.4,0.14749999999999985,1.55,-0.18999999999999995,1.7,-0.5725,1.85,-0.71,1.9,92200000,5,5,5,4,El Madrigal,Iturralde González,r600017,"5,46","0,41",0.4948453608247423,0.2611683848797251,0.24398625429553264,both
20,SP1,12/09/2010,ID033,ID029,A,0.016,-0.024,0.0,-0.02702702702702703,0.005494505494505495,-0.016483516483516484,1.0,0.95,1.0,0.9,1.0,0.75,1.0,0.6,1.0,0.44999999999999996,1.0,0.30000000000000004,1.0,0.15000000000000002,1.0,0.09999999999999998,-14050000,6,0,-1,1,La Romareda,Mateu Lahoz,r600014,"4,88","0,23",0.47038327526132406,0.2926829268292683,0.23693379790940766,both
21,SP1,13/09/2010,ID020,ID006,D,-0.048,0.024,0.0,0.013513513513513514,-0.01098901098901099,-0.01098901098901099,1.0,1.05,1.0,1.1,1.0,1.25,1.0,1.4,1.0,1.55,1.0,1.7,1.0,1.85,1.0,1.9,6900000,0,2,1,2,Juegos del Mediterráneo,Iglesias Villanueva,r600018,"5,52","0,32",0.4943181818181818,0.23295454545454544,0.2727272727272727,both
22,SP1,13/09/2010,ID020,ID006,D,-0.048,0.024,0.0,0.013513513513513514,-0.01098901098901099,-0.01098901098901099,1.0,1.05,1.0,1.1,1.0,1.25,1.0,1.4,1.0,1.55,1.0,1.7,1.0,1.85,1.0,1.9,6900000,0,2,1,2,Juegos del Mediterráneo,Iglesias Villanueva,r600675,"4,54","0,17",0.45714285714285713,0.3142857142857143,0.22857142857142856,both
23,SP1,18/09/2010,ID021,ID020,H,0.072,-0.032,-0.02702702702702703,0.0,0.038461538461538464,-0.005494505494505495,1.0,1.0025,1.0,1.01,1.0,1.0625,0.9999999999999999,1.16,1.0,1.3025,1.0,1.49,1.0,1.7225000000000001,0.9999999999999999,1.81,4800000,2,0,0,0,Cornellà -El Prat,Teixeira Vitienes,r600003,"6,53","0,39",0.4421052631578947,0.3263157894736842,0.23157894736842105,both
24,SP1,18/09/2010,ID021,ID020,H,0.072,-0.032,-0.02702702702702703,0.0,0.038461538461538464,-0.005494505494505495,1.0,1.0025,1.0,1.01,1.0,1.0625,0.9999999999999999,1.16,1.0,1.3025,1.0,1.49,1.0,1.7225000000000001,0.9999999999999999,1.81,4800000,2,0,0,0,Cornellà -El Prat,Teixeira Vitienes,r600019,"5,29","0,35",0.42920353982300885,0.29646017699115046,0.2743362831858407,both
25,SP1,18/09/2010,ID015,ID012,H,-0.024,0.0,-0.02702702702702703,-0.013513513513513514,-0.04395604395604396,-0.02197802197802198,0.950125,0.9475,0.901,0.89,0.765625,0.6875,0.6639999999999999,0.44000000000000006,0.616375,0.14749999999999985,0.643,-0.18999999999999995,0.764125,-0.5725,0.829,-0.71,-4200000,0,-2,0,0,Ono Estadi,Ayza Gámez,r600004,"4,79","0,38",0.445859872611465,0.3375796178343949,0.21656050955414013,both
