,Div,Date,HomeTeam,AwayTeam,FTR,HTCD,ATCD,HTGD,ATGD,HTSD,ATSD,HomeRating(ELO) 0.05,AwayRating(ELO) 0.05,HomeRating(ELO) 0.1,AwayRating(ELO) 0.1,HomeRating(ELO) 0.25,AwayRating(ELO) 0.25,HomeRating(ELO) 0.4,AwayRating(ELO) 0.4,HomeRating(ELO) 0.55,AwayRating(ELO) 0.55,HomeRating(ELO) 0.7,AwayRating(ELO) 0.7,HomeRating(ELO) 0.85,AwayRating(ELO) 0.85,HomeRating(ELO) 0.9,AwayRating(ELO) 0.9,Value Diff,Attack Diff,Mid Game Diff,Defense Diff,Over Game Diff,Estadio,Arbitro,Parametro,Yellow Card/Match,Red Card/Match,% HomeWin,% AwayWin,% DrawWin,_merge
15,E0,21/08/2010,PR016,PR003,A,-0.07964601769911504,-0.035398230088495575,-0.07317073170731707,0.0,-0.057692307692307696,0.01282051282051282,0.9475,1.0,0.89,1.0,0.6875,1.0,0.44000000000000006,1.0,0.14749999999999985,1.0,-0.18999999999999995,1.0,-0.5725,1.0,-0.71,1.0,38600000,-2,0,-1,0,,Andre Marriner,r611308,"3,17","0,16",0.42710997442455245,0.32225063938618925,0.2506393861892583,both
16,E0,21/08/2010,PR007,PR004,A,0.017699115044247787,0.017699115044247787,-0.0975609756097561,0.14634146341463414,-0.00641025641025641,0.057692307692307696,0.95,1.05,0.9,1.1,0.75,1.25,0.6,1.4,0.44999999999999996,1.55,0.30000000000000004,1.7,0.15000000000000002,1.85,0.09999999999999998,1.9,-343600000,-14,-10,-11,-10,,Mike Dean,r611300,"3,68","0,2",0.44206773618538325,0.27450980392156865,0.28342245989304815,both
17,E0,22/08/2010,PR017,PR010,D,0.035398230088495575,0.017699115044247787,0.0,0.07317073170731707,-0.01282051282051282,0.04487179487179487,1.0,1.05,1.0,1.1,1.0,1.25,1.0,1.4,1.0,1.55,1.0,1.7,1.0,1.85,1.0,1.9,-278450000,-6,-6,-5,-5,,Peter Walton,r611327,"2,82","0,12",0.43529411764705883,0.25882352941176473,0.3058823529411765,both
18,E0,22/08/2010,PR018,PR001,H,-0.017699115044247787,0.07964601769911504,-0.07317073170731707,0.07317073170731707,-0.04487179487179487,0.057692307692307696,0.9475,1.05,0.89,1.1,0.6875,1.25,0.44000000000000006,1.4,0.14749999999999985,1.55,-0.18999999999999995,1.7,-0.5725,1.85,-0.71,1.9,-83320000,-3,-7,-7,-4,,Martin Atkinson,r611309,"3,27","0,15",0.46220302375809935,0.31317494600431967,0.22462203023758098,both
19,E0,23/08/2010,PR019,PR009,H,-0.061946902654867256,-0.017699115044247787,0.0,0.0,-0.07051282051282051,-0.019230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64980000,1,0,-1,2,,Phil Dowd,r611324,"3,51","0,22",0.4837662337662338,0.262987012987013,0.2532467532467532,both
20,E0,28/08/2010,PR002,PR011,A,0.05309734513274336,0.07079646017699115,0.0,0.14634146341463414,-0.09615384615384616,0.11538461538461539,0.997375,1.052375,0.9890000000000001,1.109,0.921875,1.296875,0.7759999999999998,1.496,0.5311249999999998,1.686125,0.16700000000000004,1.847,-0.33662499999999973,1.958375,-0.5390000000000001,1.981,-232470000,-9,-9,-5,-6,,Chris Foy,r611323,"2,72","0,15",0.5,0.27099236641221375,0.22900763358778625,both
21,E0,28/08/2010,PR020,PR017,D,-0.07079646017699115,-0.017699115044247787,-0.04878048780487805,0.0,-0.08974358974358974,-0.00641025641025641,0.99488125,1.0025,0.9791000000000001,1.01,0.86328125,1.0625,0.6416,1.16,0.32013125,1.3025,-0.08289999999999997,1.49,-0.5371187500000001,1.7225000000000001,-0.6929000000000001,1.81,-59520000,-9,-6,-8,-8,,Michael Oliver,r611307,"3,21","0,14",0.44715447154471544,0.3062330623306233,0.24661246612466126,both
22,E0,28/08/2010,PR004,PR014,H,0.017699115044247787,0.035398230088495575,0.2926829268292683,-0.04878048780487805,0.03205128205128205,0.019230769230769232,1.094875,0.8975,1.179,0.79,1.359375,0.4375,1.416,0.040000000000000036,1.328625,-0.4025000000000002,1.077,-0.8899999999999999,0.6408750000000003,-1.4224999999999999,0.45100000000000007,-1.6099999999999999,329650000,9,11,8,9,,Martin Atkinson,r611309,"3,27","0,15",0.46220302375809935,0.31317494600431967,0.22462203023758098,both
23,E0,28/08/2010,PR010,PR016,H,0.07079646017699115,-0.05309734513274336,0.07317073170731707,-0.12195121951219512,0.038461538461538464,-0.04487179487179487,1.047625,0.8975,1.0910000000000002,0.79,1.203125,0.4375,1.3039999999999998,0.040000000000000036,1.413875,-0.4025000000000002,1.553,-0.8899999999999999,1.7416250000000002,-1.4224999999999999,1.819,-1.6099999999999999,249250000,11,6,8,7,,Mark Clattenburg,r611321,"3,27","0,16",0.47079037800687284,0.26804123711340205,0.2611683848797251,both
24,E0,28/08/2010,PR006,PR007,A,0.02654867256637168,0.017699115044247787,0.024390243902439025,-0.24390243902439024,0.04487179487179487,0.019230769230769232,1.044875,0.8975,1.079,0.79,1.109375,0.4375,1.016,0.040000000000000036,0.7786249999999999,-0.4025000000000002,0.3770000000000001,-0.8899999999999999,-0.20912499999999978,-1.4224999999999999,-0.44899999999999984,-1.6099999999999999,226880000,9,7,7,7,,Phil Dowd,r611324,"3,51","0,22",0.4837662337662338,0.262987012987013,0.2532467532467532,both
